id,display_name,station_name,state,code,owner,deploy_date,end_date,lat,lon,subregion,subregion_name,master_region,climate_class,geoorder,oisst_comp,new_glat,new_glon,new_dist,,Color Scheme
8410140,"Eastport, ME","Eastport, ME",ME,PSBM1,NOS,11/3/1995,12/31/2023,44.9046,-66.9829,GOM,Gulf of Maine,Northeast,Continuous Climatology,1,Yes,44.875,293.125,9.115106,,Atlantic/Gulf/Caribbean
8413320,"Bar Harbor, ME","Bar Harbor, ME",ME,ATGM1,NOS,6/10/1999,12/31/2023,44.39219,-68.2043,GOM,Gulf of Maine,Northeast,Continuous Climatology,2,Yes,44.375,291.875,6.585321,,Great Lakes
8418150,"Portland, ME","Portland, ME",ME,CASM1,NOS,9/24/1997,12/31/2023,43.65806,-70.2442,GOM,Gulf of Maine,Northeast,Semi-Continuous,3,Yes,43.625,289.875,10.27217,,Alaska/West/Pacific
8449130,"Nantucket Island, MA","Nantucket Island, MA",MA,NTKM3,NOS,6/25/1998,12/31/2023,41.285,-70.0967,NTS,Nantucket Shoals,Northeast,Continuous Climatology,4,Yes,41.375,288.625,48.10262,,
8447930,"Woods Hole, MA","Woods Hole, MA",MA,BZBM3,NOS,8/25/1995,12/31/2023,41.52361,-70.6711,NTS,Nantucket Shoals,Northeast,Continuous Climatology,5,Yes,41.375,288.625,38.12165,,
8454000,"Providence, RI","Providence, RI",RI,FOXR1,NOS,9/21/1995,12/31/2023,41.80717,-71.4007,NTS,Nantucket Shoals,Northeast,Continuous Climatology,6,Yes,41.375,288.625,40.60631,,
8452944,"Conimicut Light, RI","Conimicut Light, RI",RI,CPTR1,NOAA NOS PORTS,9/28/1999,12/31/2023,41.71711,-71.3452,NTS,Nantucket Shoals,Northeast,Continuous Climatology,7,Yes,41.375,288.625,23.74633,,
8447386,"Fall River, MA","Fall River, MA",MA,FRVM3,NOAA NOS PORTS,9/30/1999,12/31/2023,41.7043,-71.1641,NTS,Nantucket Shoals,Northeast,Continuous Climatology,8,Yes,41.375,288.625,14.94737,,
8454049,"Quonset Point, RI","Quonset Point, RI",RI,QPTR1,NOAA NOS PORTS,9/24/1999,12/31/2023,41.58694,-71.41,NTS,Nantucket Shoals,Northeast,Continuous Climatology,9,Yes,41.625,289.125,20.36639,,
8452660,"Newport, RI","Newport, RI",RI,NWPR1,NOS,9/8/1995,12/31/2023,41.50433,-71.3261,NTS,Nantucket Shoals,Northeast,Continuous Climatology,10,Yes,41.375,289.875,10.28274,,
8461490,"New London, CT","New London, CT",CT,NLHC3,NOS,5/17/1995,12/31/2023,41.37167,-72.0956,LIS,Long Island Sound,Northeast,Continuous Climatology,11,Yes,41.125,287.875,27.53836,,
8465705,"New Haven, CT","New Haven, CT",CT,NWHC3,NOAA NOS PORTS,8/11/1999,12/31/2023,41.28333,-72.9083,LIS,Long Island Sound,Northeast,Continuous Climatology,12,Yes,41.125,287.125,17.82454,,
8516945,"Kings Point, NY","Kings Point, NY",NY,KPTN6,NOS,10/27/1998,12/31/2023,40.8103,-73.7649,LIS,Long Island Sound,Northeast,Semi-Continuous,13,Yes,41.125,286.625,47.91842,,
8519483,"Bergen Point, NY","Bergen Point West Reach, NY",NY,BGNN6,NOAA NOS PORTS,11/17/1993,12/31/2023,40.6391,-74.1463,RTB,Raritan Bay/Jersey Coast,Northeast,Continuous Climatology,14,No,40.375,286.125,37.2625,,
