id,display_name,name,state,code,owner,deploy_date,end_date,lat,lon,subregion,subregion_name,master_region,climate_class,geoorder,deploy_dt,end_dt,wt_trend,wt_trend_pval,wt_trend_se,wt_trend_ci,wt_trend_ci_vif,wl_trend,wl_interann,vlm,vlm_mm,wl_vlm
8410140,"Eastport, ME","Eastport, ME",ME,PSBM1,NOS,11/3/1995,12/31/2023,44.9046,-66.9829,GOM,Gulf of Maine,Northeast,Continuous Climatology,1,11/3/1995,12/31/2023,0.050971689,0.000685817,0.015012925,0.029425333,0.093368289,3.17,1,0.061,0.61,2.56
8413320,"Bar Harbor, ME","Bar Harbor, ME",ME,ATGM1,NOS,6/10/1999,12/31/2023,44.39219,-68.2043,GOM,Gulf of Maine,Northeast,Continuous Climatology,2,6/10/1999,12/31/2023,0.045246137,0.016183693,0.018815347,0.03687808,0.086713956,3.15,1,0.083,0.83,2.32
8418150,"Portland, ME","Portland, ME",ME,CASM1,NOS,9/24/1997,12/31/2023,43.65806,-70.2442,GOM,Gulf of Maine,Northeast,Semi-Continuous,3,9/24/1997,12/31/2023,0.059955467,3.84E-05,0.014563253,0.028543976,0.056836969,2.46,1,0.028,0.28,2.18
8449130,"Nantucket Island, MA","Nantucket Island, MA",MA,NTKM3,NOS,6/25/1998,12/31/2023,41.285,-70.0967,NTS,Nantucket Shoals,Northeast,Continuous Climatology,4,6/25/1998,12/31/2023,0.021171556,0.248755046,0.018356121,0.035977997,0.06402855,5.48,1,0.173,1.73,3.75
8447930,"Woods Hole, MA","Woods Hole, MA",MA,BZBM3,NOS,8/25/1995,12/31/2023,41.52361,-70.6711,NTS,Nantucket Shoals,Northeast,Continuous Climatology,5,8/25/1995,12/31/2023,0.050284872,0.000503269,0.014453787,0.028329422,0.055873504,4.99,1,0.14,1.4,3.59
8454000,"Providence, RI","Providence, RI",RI,FOXR1,NOS,9/21/1995,12/31/2023,41.80717,-71.4007,NTS,Nantucket Shoals,Northeast,Continuous Climatology,6,9/21/1995,12/31/2023,-0.022530667,0.10862756,0.014043114,0.027524503,0.048943665,4.57,1,0.091,0.91,3.66
8452944,"Conimicut Light, RI","Conimicut Light, RI",RI,CPTR1,NOAA NOS PORTS,9/28/1999,12/31/2023,41.71711,-71.3452,NTS,Nantucket Shoals,Northeast,Continuous Climatology,7,9/28/1999,12/31/2023,0.053152765,0.036011256,0.025349465,0.049684951,0.107004409,5.4108,0,,,
8447386,"Fall River, MA","Fall River, MA",MA,FRVM3,NOAA NOS PORTS,9/30/1999,12/31/2023,41.7043,-71.1641,NTS,Nantucket Shoals,Northeast,Continuous Climatology,8,9/30/1999,12/31/2023,0.099397267,1.84E-07,0.019060004,0.037357609,0.065498595,6.5347,0,0.12,1.2,5.335
8454049,"Quonset Point, RI","Quonset Point, RI",RI,QPTR1,NOAA NOS PORTS,9/24/1999,12/31/2023,41.58694,-71.41,NTS,Nantucket Shoals,Northeast,Continuous Climatology,9,9/24/1999,12/31/2023,0.060888854,0.000111191,0.015754819,0.030879446,0.050060038,4.6528,0,,,
8452660,"Newport, RI","Newport, RI",RI,NWPR1,NOS,9/8/1995,12/31/2023,41.50433,-71.3261,NTS,Nantucket Shoals,Northeast,Continuous Climatology,10,9/8/1995,12/31/2023,0.051865488,0.000422718,0.014711616,0.028834768,0.057252395,4.39,1,0.125,1.25,3.14
8461490,"New London, CT","New London, CT",CT,NLHC3,NOS,5/17/1995,12/31/2023,41.37167,-72.0956,LIS,Long Island Sound,Northeast,Continuous Climatology,11,5/17/1995,12/31/2023,0.021109762,0.209831881,0.016833567,0.032993792,0.073757433,5.18,1,0.125,1.25,3.93
8465705,"New Haven, CT","New Haven, CT",CT,NWHC3,NOAA NOS PORTS,8/11/1999,12/31/2023,41.28333,-72.9083,LIS,Long Island Sound,Northeast,Continuous Climatology,12,8/11/1999,12/31/2023,0.023427221,0.208560493,0.0186295,0.03651382,0.06951761,5.4864,1,,,
8516945,"Kings Point, NY","Kings Point, NY",NY,KPTN6,NOS,10/27/1998,12/31/2023,40.8103,-73.7649,LIS,Long Island Sound,Northeast,Semi-Continuous,13,10/27/1998,12/31/2023,0.008875345,0.740557552,0.02680441,0.052536644,0.116536589,4.06,1,0.124,1.24,2.82
8519483,"Bergen Point, NY","Bergen Point West Reach, NY",NY,BGNN6,NOAA NOS PORTS,11/17/1993,12/31/2023,40.6391,-74.1463,RTB,Raritan Bay/Jersey Coast,Northeast,Continuous Climatology,14,11/17/1993,12/31/2023,0.038630568,0.000190125,0.010351757,0.020289444,0.033543962,5.23,1,0.171,1.71,3.52
8531680,"Sandy Hook, NJ","Sandy Hook, NJ",NJ,SDHN4,NOS,10/14/1998,12/31/2023,40.4669,-74.0094,RTB,Raritan Bay/Jersey Coast,Northeast,Continuous Climatology,15,10/14/1998,12/31/2023,0.047416057,0.016078979,0.019698269,0.038608608,0.06637259,5.61,1,0.238,2.38,3.23
