Station,display_name,name,master_region,Water Temp Range,Air Temp Range,Range Diff (WT - AT),Climo Peak WT,WT Climo Day of Year Peak,Climo Peak AT,AT Climo Day of Year Peak,Lag of Peak (WT - AT),Lag of Peak Correlation,Month of peak WT,Month of peak WL,Peak diff shift
8410140,"Eastport, ME","Eastport, ME",Northeast,10.0644562,23.61321751,-13.54876131,12.57374197,255,16.54326392,212,43,37,9,11,-2
8413320,"Bar Harbor, ME","Bar Harbor, ME",Northeast,14.42218699,28.11144056,-13.68925357,14.8297114,218,20.7655303,201,17,22,8,6,2
8418150,"Portland, ME","Portland, ME",Northeast,14.75016661,28.50165035,-13.75148374,16.47470669,240,22.96794872,187,53,19,8,6,2
8449130,"Nantucket Island, MA","Nantucket Island, MA",Northeast,22.93672667,23.71583044,-0.77910377,24.4985119,224,22.76570513,209,15,1,8,10,-2
8447930,"Woods Hole, MA","Woods Hole, MA",Northeast,21.56385053,25.75658804,-4.19273751,22.90940324,223,23.09762888,211,12,8,8,10,-2
8454000,"Providence, RI","Providence, RI",Northeast,21.32847524,29.89805169,-8.56957645,23.83468217,223,24.97186346,201,22,12,8,7,1
8452944,"Conimicut Light, RI","Conimicut Light, RI",Northeast,22.36028419,27.32736232,-4.96707813,24.80863275,217,23.75941511,200,17,7,8,10,-2
8447386,"Fall River, MA","Fall River, MA",Northeast,22.71249858,27.63255003,-4.92005145,25.33893443,217,24.69350899,201,16,9,8,10,-2
8454049,"Quonset Point, RI","Quonset Point, RI",Northeast,21.42591435,27.0218815,-5.59596715,23.41764658,214,23.80015097,201,13,8,8,10,-2
8452660,"Newport, RI","Newport, RI",Northeast,18.75649113,25.86293115,-7.10644002,21.67581662,216,22.90763829,211,5,11,8,10,-2
8461490,"New London, CT","New London, CT",Northeast,19.08110191,27.63773485,-8.55663294,22.24888517,223,24.98815152,201,22,19,8,9,-1
8465705,"New Haven, CT","New Haven, CT",Northeast,22.746189,26.32295482,-3.57676582,24.58354776,218,23.23751803,199,19,13,8,10,-2
8516945,"Kings Point, NY","Kings Point, NY",Northeast,22.02377135,26.89010895,-4.8663376,23.32024207,242,25.11749397,199,43,14,8,9,-1
8519483,"Bergen Point, NY","Bergen Point West Reach, NY",Northeast,21.72686708,27.84938782,-6.12252074,24.53153232,217,26.34584799,200,17,13,8,9,-1
8531680,"Sandy Hook, NJ","Sandy Hook, NJ",Northeast,23.63038791,27.81125193,-4.18086402,25.69282069,216,25.70972645,201,15,4,8,9,-1
8534720,"Atlantic City, NJ","Atlantic City, NJ",Northeast,20.72973149,25.64846202,-4.91873053,23.66923901,241,24.5346148,199,42,11,8,9,-1
8548989,"Newbold, PA","Newbold, PA",Northeast,26.43982121,28.48947612,-2.04965491,27.94439428,203,26.46156756,200,3,2,7,9,-2
